Officer_ID,reports_w1,reports_w2,reports_d,evidence_w1,evidence_w2,evidence_d,reactions_w1,reactions_w2,reactions_d,general_w1,general_w2,general_d,overall_w1,overall_w2,overall_d,treatment,male,age,white,less_t_college,equal_t_college,w1_q56_Beat,w1_q55_Precinct,w1_q53_Shift,activation,cntact
C1223,2.25,2.75,0.5,1.666667,2.333333,0.6666666,2.333333,2.5,0.1666667,2.166667,2.666667,0.5,2.666667,2.333333,-0.3333335,0,1,43,0,1,0,54,3,2,,0
C1224,2.75,,,3,,,3,,,3.166667,,,1.666667,,,0,1,46,0,1,0,56,3,1,,0
C1225,2.5,,,2.666667,,,3,,,3.166667,,,2,,,0,1,37,1,0,0,51,3,3,,0
C1226,2.75,2.75,0,2.666667,2.666667,0,3,2.666667,-0.3333333,3.166667,2.833333,-0.3333335,2,2,0,0,0,45,1,0,0,53,3,3,,0
C1227,3.5,3.5,0,2.666667,3.666667,1,3.166667,3.333333,0.1666665,3.666667,3.666667,0,1.333333,1.333333,0,0,1,41,1,1,0,,3,3,,0
C1228,2.75,3.5,0.75,2.333333,3,0.6666667,2.833333,3.6,0.7666667,3.5,3.833333,0.3333333,1.666667,1,-0.6666666,0,1,31,1,1,0,56,3,3,,0
C1229,1.25,1.5,0.25,1,1,0,2,1.833333,-0.1666666,1.166667,1.833333,0.6666667,4,2.333333,-1.666667,0,1,25,0,0,0,54,3,2,,0
C1230,2.5,3,0.5,2.666667,,,3,3,0,2.75,2.8,0.05,2,2,0,0,1,,0,0,,,,,,0
C1231,2.75,3,0.25,2,2.333333,0.3333333,2.166667,2.666667,0.5,2.833333,3.166667,0.3333335,1.666667,1,-0.6666666,0,1,40,1,0,0,56,3,3,,0
C1232,3,3.5,0.5,2.666667,4,1.333333,2.833333,3.666667,0.8333335,3.166667,3.333333,0.1666665,1.333333,1,-0.3333334,0,1,27,1,0,0,55,2,3,,0
C1234,1.75,3.25,1.5,2,2,0,2.833333,3.833333,1,2.333333,2.666667,0.3333335,2.333333,2,-0.3333333,0,0,48,1,1,0,53,3,1,,0
C1235,2.5,2.5,0,2.333333,2,-0.3333333,2.333333,2.666667,0.3333335,2.833333,2.333333,-0.5,2,2.666667,0.6666667,0,0,33,1,0,0,51,3,2,,0
C1237,3,3,0,2.333333,2.333333,0,3.166667,2.5,-0.6666667,2.833333,2.5,-0.3333333,2.333333,2,-0.3333333,0,1,41,1,0,0,58,3,2,,0
C1238,2,2.75,0.75,2,3.666667,1.666667,2.833333,2.666667,-0.1666665,2.666667,3.833333,1.166667,2,1,-1,0,1,31,0,0,0,58,3,1,,0
C1239,3,4,1,2,1.666667,-0.3333334,2.833333,3.166667,0.3333335,3.833333,4,0.1666667,1.333333,1,-0.3333334,0,1,33,1,0,0,,3,3,1,2
C1240,2.75,2.75,0,3,3,0,3,3,0,3,3,0,2,1.666667,-0.3333334,0,1,35,1,1,0,57,3,3,,0
C1241,,3,,,3,,,3,,,3,,,2,,0,1,36,0,1,0,,,,,0
C1242,2.75,3,0.25,2.333333,2.333333,0,2.5,2.833333,0.3333333,2.666667,2,-0.6666667,2.333333,2.666667,0.3333335,0,1,25,1,0,0,59,3,1,,0
C1243,3.5,3.5,0,3.333333,2.666667,-0.6666665,3,3.333333,0.3333333,3.833333,3.5,-0.3333333,1.333333,1,-0.3333334,0,1,50,1,0,0,58,3,3,,0
C1245,1.75,1.75,0,1.666667,2,0.3333334,2.166667,2.333333,0.1666665,2.666667,2.833333,0.1666665,2.333333,1.666667,-0.6666666,0,1,41,1,1,0,56,3,1,,0
C1247,2.25,2.5,0.25,2.333333,2.333333,0,2.333333,3,0.6666667,2.333333,2.5,0.1666667,3,3,0,0,1,27,1,0,5,53,3,1,,0
C1248,2.75,2.75,0,3,2,-1,2.666667,2.833333,0.1666665,2.833333,2.833333,0,2,2,0,0,1,31,1,1,0,,3,1,,0
C1249,,3.25,,,2.333333,,,3,,,3,,,1.666667,,0,1,37,0,0,5,,,,,0
C1250,,3,,,2.666667,,,3,,,2.833333,,,2,,0,1,30,0,1,0,,,,,0
C1251,,2.25,,,2.333333,,,2.333333,,,2.666667,,,3,,0,1,48,0,1,0,,,,,0
C1252,2.75,,,2.333333,,,3.5,,,3,,,1,,,0,1,23,1,1,0,,3,3,,0
C1253,3.75,3.5,-0.25,3.666667,3.333333,-0.3333335,3,3,0,4,4,0,1,1,0,0,1,29,1,1,0,,3,2,,0
C1254,3,3,0,3,3,0,2.833333,2.833333,0,3.166667,4,0.8333333,2,1,-1,0,1,42,1,0,0,54,3,1,,0
C1255,2.75,2.5,-0.25,2.333333,3,0.6666667,2.666667,3,0.3333333,2.666667,2.833333,0.1666665,2.333333,1.666667,-0.6666666,0,0,45,1,0,0,59,3,2,,0
C1256,3,2.5,-0.5,2.666667,3,0.3333333,3.666667,3,-0.6666667,2.833333,2.666667,-0.1666665,1.666667,3,1.333333,0,1,40,1,0,0,58,3,2,,0
C1257,2,2.25,0.25,2,2,0,2.333333,2.833333,0.5,2.666667,2.5,-0.1666667,2.666667,3,0.3333333,0,1,33,1,0,0,53,3,2,,0
C1258,,2.5,,,4,,,3,,,2.666667,,,2.666667,,0,1,40,0,1,0,,,,,0
C1259,,2.75,,,2.333333,,,2.833333,,,2.666667,,,2.666667,,0,1,45,0,0,0,,,,,0
C1260,2.75,2.75,0,2.333333,2.333333,0,2.5,2.333333,-0.1666667,2.833333,3,0.1666667,1.333333,2,0.6666666,0,0,38,1,0,0,59,3,2,,0
C1261,2.5,2.75,0.25,2,2,0,2.833333,3,0.1666667,3,2.833333,-0.1666667,2,2,0,0,1,42,1,0,0,56,3,1,,0
C1262,2.75,2.75,0,2,2,0,2.166667,2.5,0.3333333,3.166667,3.166667,0,2,2,0,0,1,40,1,1,0,,3,2,,0
C1263,3,3.75,0.75,3,3,0,3.166667,2.833333,-0.3333335,4,4,0,1,1,0,0,1,36,1,1,0,,3,2,,0
C1264,1.5,2.5,1,1.333333,2.333333,0.9999999,2.5,3,0.5,3.333333,3.166667,-0.1666665,1.333333,2,0.6666666,0,0,37,1,0,0,55,3,1,,0
C1265,2.5,2.5,0,2.666667,2.666667,0,2.666667,2.833333,0.1666665,3.166667,2.833333,-0.3333335,2.333333,2,-0.3333333,0,1,38,1,0,0,55,3,2,,0
C1266,2.25,,,2,,,2.833333,,,2.666667,,,2.333333,,,0,1,37,1,0,0,56,3,2,,0
C1268,2.5,2.5,0,2,2.666667,0.6666667,3,3,0,2.5,2.666667,0.1666667,2,2,0,0,1,43,1,1,0,52,3,1,,0
C1269,3.5,3,-0.5,2.666667,2.666667,0,2.833333,2.666667,-0.1666665,3.666667,3.5,-0.1666667,1,1.666667,0.6666666,0,1,43,1,1,0,,3,1,,0
C1270,,,,,,,,,,,,,,,,0,,,0,0,,,,,,0
C1271,1.75,1.75,0,1.666667,2,0.3333334,2.666667,2.666667,0,2,2,0,3.333333,3.666667,0.3333335,1,1,42,1,1,0,55,3,1,1,2
T1223,2.75,2.75,0,2.666667,3,0.3333333,2.833333,2.833333,0,2.833333,2.666667,-0.1666665,2,3,1,1,1,,0,0,5,56,3,3,1,1
T1224,2.25,2.5,0.25,1.333333,1.666667,0.3333333,2.333333,2.333333,0,2,2.166667,0.1666667,3.333333,3,-0.3333333,1,1,38,1,0,5,55,3,2,,0
T1225,2.25,2.75,0.5,2.333333,2.333333,0,2.833333,2.833333,0,2.666667,2.8,0.1333332,3,2,-1,1,1,32,1,0,0,57,3,2,0.6666667,3
T1226,2.75,2.25,-0.5,2,2,0,2.5,3.5,1,2.666667,3.166667,0.5,2.333333,2.333333,0,1,1,34,1,1,0,56,3,2,0.6,5
T1227,1.5,1.75,0.25,1.333333,2,0.6666666,2.166667,2.166667,0,1.666667,1.833333,0.1666667,4,3.666667,-0.3333333,1,1,28,1,0,0,,2,1,0.25,4
T1228,3.5,3,-0.5,2,3.333333,1.333333,3.166667,3,-0.1666667,2.666667,2.833333,0.1666665,2,1,-1,1,1,37,0,1,0,55,3,3,0.3,10
T1229,2.5,2.5,0,1.666667,2,0.3333334,3,2.833333,-0.1666667,2.666667,2.833333,0.1666665,2.666667,2,-0.6666667,1,1,28,1,0,0,54,3,3,0.9090909,11
T1231,2,2.25,0.25,1.666667,2,0.3333334,2.333333,2.333333,0,2.333333,2.333333,0,2.666667,2.666667,0,1,1,30,1,1,0,59,3,3,0.4,10
T1232,,1,,,1,,,2.166667,,,1.833333,,,4,,1,1,30,0,1,0,,,,0,1
T1236,3,3.25,0.25,2.666667,2.666667,0,3,3,0,3.5,3.5,0,1.333333,1.666667,0.3333333,1,1,41,1,1,0,,4,1,1,1
T1237,2.5,2.75,0.25,2,2,0,2.666667,2.833333,0.1666665,3,3,0,2.666667,2,-0.6666667,1,0,29,1,1,0,,4,2,1,2
T1238,1.5,1.75,0.25,2,2.333333,0.3333333,2.333333,2.5,0.1666667,2.166667,2,-0.1666667,3.333333,3.333333,0,1,1,40,1,1,0,74,4,2,1,9
T1239,2.75,2.75,0,2,2.333333,0.3333333,2.166667,2.333333,0.1666665,2.5,2.666667,0.1666667,1.333333,1.666667,0.3333333,1,1,28,0,1,0,73,4,2,1,1
