Age,Race
30,1
60,2
43,1
33,2
54,2
40,2
52,1
54,2
42,2
49,3
24,2
30,1
49,1
43,1
45,1
25,2
43,1
61,2
44,1
29,2
48,3
49,1
41,1
36,3
33,4
22,2
32,1
35,1
33,3
32,2
30,2
28,2
22,2
37,1
35,2
47,2
62,2
40,3
44,1
50,2
29,2
51,1
50,1
33,3
34,1
44,2
53,2
24,3
34,2
65,1
27,1
49,1
25,2
29,3
48,1
39,1
53,1
23,1
37,3
56,1
50,2
27,1
45,1
47,2
37,2
27,3
37,2
43,1
40,2
68,1
46,1
41,1
24,2
53,2
50,1
26,1
40,2
45,2
43,3
37,2
38,2
59,1
32,3
35,1
28,1
37,1
33,2
30,2
47,2
30,1
37,2
48,2
42,2
37,3
30,1
55,1
36,1
31,2
31,2
29,2
26,2
55,1
39,3
30,2
52,2
29,2
50,1
69,1
37,3
39,2
39,1
42,1
47,1
38,2
54,2
41,1
28,3
21,2
33,2
47,1
51,2
44,1
51,2
35,1
28,1
30,2
54,1
26,2
60,1
58,2
31,1
32,2
46,3
37,3
45,2
23,2
39,3
35,3
40,3
39,3
52,2
32,2
57,2
24,3
24,2
52,1
61,1
33,2
51,2
47,3
39,2
29,1
30,2
51,1
52,1
47,1
28,2
69,2
51,2
21,3
49,2
55,2
72,1
23,1
25,1
44,2
45,2
36,2
40,1
24,2
23,1
50,1
53,1
32,2
28,2
29,1
46,1
40,1
32,1
39,2
30,2
30,2
26,1
25,2
44,2
57,2
42,1
30,2
43,1
42,1
33,1
36,3
26,2
24,2
26,2
33,1
37,2
34,2
33,2
24,3
24,2
37,3
42,3
47,2
32,2
