Officer_ID,Incident_ID
"C1223","12272012_16"
"C1223","02102013_9"
"C1223","02102013_10"
"C1223","02102013_8"
"C1223","02102013_7"
"C1223","12272012_7"
"C1224","12272012_5"
"C1224","12272012_6"
"C1225","12272012_4"
"C1226","12272012_3"
"C1226","12272012_1"
"C1226","12262012_5"
"C1226","12272012_2"
"C1226","12272012_4"
"C1227","12272012_18"
"C1227","12272012_3"
"C1227","12272012_18"
"C1227","12272012_1"
"C1227","02072013_17"
"C1227","12272012_2"
"C1228","12292012_6"
"C1228","12292012_7"
"C1228","12292012_4"
"C1228","12292012_5"
"C1228","02092013_5"
"C1229","12292012_17"
"C1229","12292012_23"
"C1230","12272012_17"
"C1230","12282012_1"
"C1230","02092013_2"
"C1230","12272012_18"
"C1230","02092013_3"
"C1230","02092013_26"
"C1230","06122013_1"
"C1231","01012013_2"
"C1231","01012013_3"
"C1231","01012013_1"
"C1232","12302012_7"
"C1232","12292012_26"
"C1232","12302012_8"
"C1232","12302012_9"
"C1232","12302012_7"
"C1232","02072013_17"
"C1232","12302012_2"
"C1232","12292012_24"
"C1234","12292012_6"
"C1234","12282012_2"
"C1234","02092013_6"
"C1235","12312012_2"
"C1235","12312012_3"
"C1235","02072013_1"
"C1235","02072013_3"
"C1235","02072013_4"
"C1237","12292012_18"
"C1237","12292012_20"
"C1237","02092013_22"
"C1237","12292012_21"
"C1237","02092013_23"
"C1237","02092013_25"
"C1237","02092013_15"
"C1237","02092013_21"
"C1237","12292012_19"
"C1237","12292012_22"
"C1238","02092013_18"
"C1238","12292012_15"
"C1238","12292012_16"
"C1238","02092013_14"
"C1238","12292012_17"
"C1238","02092013_15"
"C1238","02092013_19"
"C1239","12292012_15"
"C1239","02092013_17"
"C1240","02092013_6"
"C1240","02082013_2"
"C1240","12292012_3"
"C1240","12282012_3"
"C1240","02092013_3"
"C1240","12282012_3"
"C1241","12312012_1"
"C1241","12302012_21"
"C1241","02112013_3"
"C1242","12312012_1"
"C1242","02102013_11"
"C1242","02112013_1"
"C1243","12302012_11"
"C1243","12302012_10"
"C1245","01012013_4"
"C1245","01012013_2"
"C1245","01012013_3"
"C1245","02072013_17"
"C1245","01012013_4"
"C1245","02072013_17"
"C1245","01012013_1"
"C1247","02092013_14"
"C1247","02092013_8"
"C1247","02092013_10"
"C1247","12292012_13"
"C1247","12292012_14"
"C1247","12292012_12"
"C1248","02092013_13"
"C1248","12292012_10"
"C1248","12292012_11"
"C1248","12292012_9"
"C1248","02092013_7"
"C1248","12292012_13"
"C1248","02092013_9"
"C1249","02162013_1"
"C1249","12292012_14"
"C1250","12292012_23"
"C1250","12292012_21"
"C1250","02082013_2"
"C1250","02092013_20"
"C1250","02092013_16"
"C1250","12292012_23"
"C1250","12292012_21"
"C1250","12292012_20"
"C1251","12292012_18"
"C1251","02162013_1"
"C1251","12292012_16"
"C1251","12292012_21"
"C1251","12292012_20"
"C1252","02092013_11"
"C1252","02092013_7"
"C1252","02092013_10"
"C1252","02092013_12"
"C1253","12292012_26"
"C1253","12292012_24"
"C1253","12302012_3"
"C1253","12302012_6"
"C1253","12302012_5"
"C1253","12292012_25"
"C1253","12302012_4"
"C1254","02092013_24"
"C1254","02092013_19"
"C1254","02092013_23"
"C1254","06122013_1"
"C1255","12292012_13"
"C1255","02092013_22"
"C1255","12292012_11"
"C1255","02092013_11"
"C1255","12292012_8"
"C1256","12262012_3"
"C1256","12262012_2"
"C1256","12262012_1"
"C1256","02062013_5"
"C1256","02062013_3"
"C1256","02062013_3"
"C1257","12272012_18"
"C1257","12272012_10"
"C1257","12272012_8"
"C1258","12302012_14"
"C1259","12302012_12"
"C1259","12302012_16"
"C1259","12302012_13"
"C1260","12292012_21"
"C1260","12292012_20"
"C1260","12292012_22"
"C1260","12292012_19"
"C1260","12292012_23"
"C1261","12312012_5"
"C1261","12312012_4"
"C1262","12272012_5"
"C1262","02072013_7"
"C1262","02072013_5"
"C1262","02072013_4"
"C1263","02072013_16"
"C1263","12272012_7"
"C1263","02072013_10"
"C1263","12272012_11"
"C1263","02072013_13"
"C1263","02072013_9"
"C1263","12272012_15"
"C1263","02072013_8"
"C1264","02072013_13"
"C1264","02072013_9"
"C1264","12272012_17"
"C1264","12272012_7"
"C1264","12272012_11"
"C1264","02072013_10"
"C1264","12272012_12"
"C1264","02072013_8"
"C1264","02072013_16"
"C1265","02092013_9"
"C1265","02092013_13"
"C1265","02092013_10"
"C1265","12292012_12"
"C1265","12292012_10"
"C1265","12292012_9"
"C1265","12292012_8"
"C1265","12292012_16"
"C1266","12272012_7"
"C1266","12272012_12"
"C1266","02072013_15"
"C1266","02072013_11"
"C1268","02072013_15"
"C1268","02072013_11"
"C1268","12272012_10"
"C1268","12272012_7"
"C1269","02072013_1"
"C1269","02072013_15"
"C1269","02072013_3"
"C1270","02072013_2"
"C1270","02072013_6"
"C1271","12272012_8"
"C1271","02072013_7"
"C1271","02072013_6"
"C1271","12272012_6"
"C1271","02072013_2"
"T1223","02062013_5"
"T1223","02062013_4"
"T1224","12262012_5"
"T1225","12262012_2"
"T1225","12262012_1"
"T1225","12262012_3"
"T1226","12302012_14"
"T1226","12302012_16"
"T1226","12302012_19"
"T1226","12302012_17"
"T1227","12292012_20"
"T1227","12292012_16"
"T1227","02102013_3"
"T1227","02092013_21"
"T1227","02092013_16"
"T1227","12292012_19"
"T1228","12292012_16"
"T1228","02092013_12"
"T1228","02092013_8"
"T1228","02092013_16"
"T1229","12302012_4"
"T1229","12302012_6"
"T1229","02102013_6"
"T1229","12292012_27"
"T1229","02102013_2"
"T1229","12302012_3"
"T1229","12302012_8"
"T1229","02102013_5"
"T1229","12292012_25"
"T1229","02102013_1"
"T1231","12302012_6"
"T1231","12302012_8"
"T1231","12292012_1"
"T1231","12302012_1"
"T1231","12292012_28"
"T1231","02102013_4"
"T1231","12292012_24"
"T1231","02102013_2"
"T1231","02092013_26"
"T1231","12302012_5"
"T1231","02102013_3"
"T1231","12292012_24"
"T1231","12302012_2"
"T1232","12302012_5"
"T1232","12302012_4"
"T1232","12292012_27"
"T1232","02102013_4"
"T1232","02102013_6"
"T1232","02102013_5"
"T1232","12302012_6"
"T1232","02102013_6"
"T1232","12302012_2"
"T1232","12302012_6"
"T1236","02082013_1"
"T1237","12312012_4"
"T1237","12312012_6"
"T1238","12302012_13"
"T1238","02102013_9"
"T1238","12302012_18"
"T1238","12302012_20"
"T1238","02102013_7"
"T1238","12302012_17"
"T1238","02102013_10"
"T1238","02102013_8"
"T1238","12302012_19"
"T1239","02232013_1"
"T1240","02112013_3"
"T1240","02112013_1"
"T1242","12312012_5"
"T1242","12302012_10"
"T1242","12302012_11"
"T1242","12312012_4"
"T1242","12292012_21"
"T1242","12312012_6"
"T1242","12292012_13"
"T1242","12302012_9"
"T1243","12292012_2"
"T1243","12282012_3"
"T1243","02092013_4"
"T1243","02092013_1"
"T1245","02062013_1"
"T1245","12262012_4"
"T1247","12272012_7"
"T1247","02072013_14"
"T1247","12272012_9"
"T1247","02072013_12"
"T1247","02072013_5"
"T1248","02072013_14"
"T1249","02092013_17"
"T1249","02092013_18"
"T1249","02092013_16"
"T1249","12292012_23"
"T1249","02092013_20"
"T1249","12292012_21"
"T1249","02092013_24"
"T1249","12292012_20"
"T1251","02232013_1"
"T1251","12302012_1"
"T1251","12292012_24"
"T1252","02082013_1"
"T1252","12292012_2"
"T1252","12292012_3"
"T1253","12302012_4"
"T1253","02092013_25"
"T1253","12292012_28"
"T1253","02102013_1"
"T1255","02062013_2"
"T1255","02062013_1"
"T1256","12312012_2"
"T1256","12312012_3"
"T1259","12302012_17"
"T1259","12302012_15"
"T1260","12272012_16"
"T1260","12272012_14"
"T1260","12272012_13"
"T1260","12272012_9"
"T1260","12272012_13"
"T1261","12292012_6"
"T1261","02092013_5"
"T1261","12292012_7"
"T1261","12292012_5"
"T1261","12292012_1"
"T1261","02092013_4"
"T1261","12292012_4"
"T1261","02082013_2"
"T1261","02092013_1"
"T1261","02092013_2"
"T1262","02112013_2"
"T1262","02102013_11"
"T1262","12302012_21"
"T1264","02252013_1"
"T1264","12262012_4"
"T1265","12302012_17"
"T1265","12302012_18"
"T1265","12302012_20"
"T1265","12302012_15"
"T1265","12302012_12"
"T1270","12282012_1"
"T1273","12282012_2"
"T1273","12292012_6"
"T1275","02252013_1"
"T1275","12272012_14"
"T1276","02062013_2"
"T1276","02062013_3"
"T1276","02062013_4"
"T1277","12272012_7"
"T1277","12272012_15"
"T1277","02072013_12"
"T1277","12272012_18"
"T1278","02112013_2"
