id,male,age,risky
1,0,13,1
2,1,.,0
3,1,13,1
4,.,12,.
5,0,13,1
6,1,13,.
7,1,12,1
8,1,12,1
9,0,12,1
10,0,13,3
11,0,13,.
12,1,14,1
13,0,13,1
14,0,14,0
15,.,12,1
16,1,13,0
17,0,13,1
18,1,14,0
19,0,14,.
20,1,13,1
21,1,13,1
22,.,13,0
23,1,13,1
24,1,13,1
25,1,13,1
26,1,14,0
27,0,13,1
28,0,.,0
29,0,14,1
30,1,14,0
31,0,13,.
32,1,13,0
33,0,14,2
34,1,12,0
35,1,12,2
36,1,13,0
37,0,13,1
38,.,.,0
39,1,13,0
40,0,13,2
41,1,13,.
42,0,13,2
43,0,12,1
44,1,12,0
45,1,13,1
46,0,12,0
47,0,12,1
48,1,13,1
49,0,13,2
50,0,13,1
51,0,.,1
52,0,12,1
